Country,Year,corruption_and_economic_crime,intentional_homicide,violent_and_sexual_crime,firearms_trafficking,access_and_functioning_of_justice
Belize,2022,69743.07142857143,13.481304153479488,40039.262116737984,483.48581781605697,82.39896200171314
Bermuda,2019,1920.439334043418,1.023956822187905,93352.18413132,37.68640277606924,13.88469500901283
Bermuda,2020,11441.097381269588,5.443375615228706,55518.55182824802,39.078253962323934,132.60969513719465
Bermuda,2021,64930.77418097715,5.696161459590791,52442.359914965906,37.41938516680832,997.4152563875778
Bermuda,2022,76208.45068471332,10.043670874405416,15483.828343874688,17698.957158789948,6928.312017254415
Bermuda,2023,33894.215054681976,4.46817220649324,113593.74124365472,32907.84222350185,6688.668984799632
Bhutan,2019,19064.42857142857,0.7271142593757907,6287.657396198494,6769.944750139259,111.3787799546039
Bhutan,2020,46251.357142857145,1.8288981646216584,123567.07314307375,9655.824958503854,104.85185414139627
Bhutan,2023,28817.283301729036,558.9336679607273,3.3142857142857145,3071.9333674656536,6668.798600328695
Bolivia (Plurinational State of),2019,75454.75,44.13092212723202,52456.23537914896,7541.307885166617,823.5443274516593
Bolivia (Plurinational State of),2020,66620.3125,33.85246051576588,132465.1160135005,7262.292657896394,637.9686408061399
Bolivia (Plurinational State of),2021,56790.41666666666,27.397192942401634,17.511111111111113,8553.880405980033,786.1054214715758
Bolivia (Plurinational State of),2022,62998.833333333336,31.31808878417364,404.3181818181818,6430.464456295994,1043.1973870282038
Bolivia (Plurinational State of),2023,110967.88888888888,49.2901186586371,174.76271186440678,1637.189606843348,2238.4911531406347
Bosnia and Herzegovina,2019,109712.89285714286,5.115614009143251,48167.15770447973,1425.1022792109077,82.24412104140058
Bosnia and Herzegovina,2020,80829.7,3.7761669175343138,118290.7246495758,2019.2458990398327,74.69740285168334
Bosnia and Herzegovina,2021,49447.17857142857,3.4530784694397005,55793.747262821984,1485.79040516952,86.58867163393718
Bosnia and Herzegovina,2022,64184.15,3.302291183246428,30762.556196446592,1385.031015063245,61.209274216806975
Bosnia and Herzegovina,2023,75075.125,3.974729610596063,4814.240786494887,638.257830888166,95.33050087975109
Botswana,2019,20832.625,896.155257793169,93.33333333333331,24530.946676131774,1181.0617364390546
Botswana,2020,107465.875,60.70335919506995,36254.70881593833,11517.63236621557,1187.142488239644
Botswana,2021,1996.1755517116471,61.57920717453457,21070.790058382907,4153.295361178403,9658.096409004967
Brazil,2019,79586.28571428571,7525.517299176346,35116.28449287415,10876.441105343145,82337.04490080586
Brazil,2020,12390.0,1410.1819415026382,22004.172413793105,103845.24170164722,31285.18613713304
Brazil,2021,51392.33000305872,1935.10316450516,18512.53448275862,106129.10045683016,40541.712780074886
Brazil,2022,44615.160710349286,1919.886618505069,19733.275862068964,107170.22315482685,43910.24425170796
Brazil,2023,10347.190453129922,1880.137343646889,16959.689655172413,64038.17444647774,47908.80471945858
Bulgaria,2019,374.6538461538461,20.27540117602119,16.305555555555557,3987.083121207482,345.97308817753566
